user_id,purchase_date
10057,2024-05-12 19:44:41
10148,2024-05-15 02:56:28
10070,2024-05-31 02:58:21
10106,2024-05-24 20:03:32
10175,2024-05-17 17:33:52
10149,2024-05-23 02:28:04
10124,2024-05-31 17:40:50
10139,2024-05-18 18:51:48
10091,2024-05-22 18:46:51
10164,2024-05-21 14:21:27
10103,2024-05-14 11:33:09
10026,2024-05-27 14:43:53
10096,2024-05-25 21:30:21
10108,2024-05-23 21:26:34
10105,2024-05-21 22:13:01
10113,2024-05-31 13:15:40
10042,2024-05-20 21:25:42
10102,2024-05-30 20:56:00
10083,2024-05-23 21:24:21
10197,2024-05-29 20:58:34
10091,2024-05-19 12:36:41
10094,2024-05-29 11:57:52
10115,2024-05-13 20:04:51
10039,2024-05-17 10:17:37
10183,2024-05-18 19:27:26
10064,2024-05-06 07:43:25
10094,2024-05-25 05:34:27
10151,2024-05-22 14:00:29
10118,2024-05-28 14:28:33
10186,2024-05-25 12:22:20
10052,2024-05-25 14:24:09
10021,2024-05-25 14:43:03
10030,2024-05-17 22:34:55
10023,2024-05-26 23:49:33
10160,2024-05-31 20:21:54
10008,2024-05-25 21:44:37
10147,2024-05-17 15:24:09
10091,2024-05-29 22:22:38
10101,2024-05-25 14:12:27
10101,2024-05-26 21:50:33
10132,2024-05-24 21:32:36
10169,2024-05-28 19:54:18
10131,2024-05-04 18:41:19
10065,2024-05-04 18:13:51
10199,2024-05-21 18:49:50
10105,2024-05-26 14:19:09
10119,2024-05-22 01:43:00
10155,2024-05-25 21:41:03
10185,2024-05-31 13:19:10
10167,2024-05-26 11:27:11
10051,2024-05-12 16:53:16
10020,2024-05-17 18:38:36
10199,2024-05-26 21:45:23
10025,2024-05-19 20:33:19
10188,2024-05-24 18:26:29
10016,2024-05-29 19:18:19
10158,2024-05-26 20:25:41
10184,2024-05-10 16:56:29
10010,2024-05-29 22:39:39
10091,2024-05-05 13:51:55
10027,2024-05-21 14:57:13
10067,2024-05-30 22:10:52
10077,2024-05-31 15:04:34
10102,2024-05-25 22:41:42
10159,2024-05-17 22:16:49
10181,2024-05-26 20:35:15
10004,2024-05-21 12:05:53
10008,2024-05-28 14:18:55
10135,2024-05-26 10:22:50
10060,2024-05-18 21:41:31
10186,2024-05-31 10:25:23
10154,2024-05-30 22:21:59
10122,2024-05-17 17:27:45
10039,2024-05-30 22:38:05
10104,2024-05-17 14:24:04
10184,2024-05-25 21:08:00
10146,2024-05-25 23:50:41
10170,2024-05-19 13:02:56
10129,2024-05-18 16:04:59
10060,2024-05-31 08:04:26
10185,2024-05-31 16:21:45
10082,2024-05-21 10:43:40
10024,2024-05-23 14:57:43
10057,2024-05-25 12:20:00
10198,2024-05-27 21:35:54
10140,2024-05-19 16:28:30
10109,2024-05-18 18:43:55
10044,2024-05-26 03:16:10
10027,2024-05-27 19:16:34
10045,2024-05-18 11:01:09
10037,2024-05-31 20:44:46
10040,2024-05-29 11:44:46
10103,2024-05-11 13:33:48
10161,2024-05-19 23:33:27
10132,2024-05-19 23:19:24
10153,2024-05-18 20:18:44
10134,2024-05-17 13:35:18
10170,2024-05-19 22:20:03
10121,2024-05-25 08:04:10
10102,2024-05-18 22:18:45
10129,2024-05-12 18:33:52
10011,2024-05-26 10:17:58
10090,2024-05-30 14:31:53
10115,2024-05-17 11:34:58
10041,2024-05-26 08:42:41
10197,2024-05-28 16:44:34
10012,2024-05-23 09:39:03
10130,2024-05-26 21:38:24
10055,2024-05-30 07:10:55
10111,2024-05-19 13:32:20
10179,2024-05-29 14:50:24
10140,2024-05-19 18:11:42
10129,2024-05-12 12:06:04
10060,2024-05-19 11:43:21
10095,2024-05-28 21:31:59
10099,2024-05-26 12:22:34
10143,2024-05-12 12:56:01
10125,2024-05-26 13:42:19
